0.00.005.519 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.006.422 W srv  llama_server: -----------------
0.00.006.425 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.006.425 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.006.426 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.006.426 W srv  llama_server: -----------------
0.00.007.705 I srv    load_model: loading model '/home/sandalots/excalibur/artifacts/excalibur-medic-1b-Q4_K_M.gguf'
0.06.131.190 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 2048, kv_unified = 'true'
0.06.146.110 I srv  llama_server: model loaded
0.06.146.118 I srv  llama_server: listening on http://127.0.0.1:8080
3.12.600.621 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
3.12.600.891 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
3.15.927.211 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    256, progress = 0.43, t =   3.32 s / 77.01 tokens per second
3.17.773.887 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    384, progress = 0.65, t =   5.17 s / 74.26 tokens per second
3.19.766.845 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    512, progress = 0.87, t =   7.16 s / 71.47 tokens per second
3.28.344.625 I slot print_timing: id  3 | task 0 | prompt eval time =    8466.21 ms /   589 tokens (   14.37 ms per token,    69.57 tokens per second)
3.28.344.630 I slot print_timing: id  3 | task 0 |        eval time =    7275.55 ms /    89 tokens (   81.75 ms per token,    12.23 tokens per second)
3.28.344.632 I slot print_timing: id  3 | task 0 |       total time =   15741.76 ms /   678 tokens
3.28.344.639 I slot print_timing: id  3 | task 0 |    graphs reused =         90
3.28.345.702 I slot      release: id  3 | task 0 | stop processing: n_tokens = 677, truncated = 0
3.31.861.352 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.295 (> 0.100 thold), f_keep = 0.173
3.31.870.474 I slot launch_slot_: id  3 | task 94 | processing task, is_child = 0
3.35.470.963 I slot print_timing: id  3 | task 94 | prompt processing, n_tokens =    256, progress = 0.94, t =   3.60 s / 71.10 tokens per second
3.43.719.141 I slot print_timing: id  3 | task 94 | n_decoded =    100, tg =  12.75 t/s, tg_3s =  12.75 t/s
3.46.294.563 I slot print_timing: id  3 | task 94 | prompt eval time =    4006.77 ms /   280 tokens (   14.31 ms per token,    69.88 tokens per second)
3.46.294.614 I slot print_timing: id  3 | task 94 |        eval time =   10417.24 ms /   132 tokens (   78.92 ms per token,    12.67 tokens per second)
3.46.294.616 I slot print_timing: id  3 | task 94 |       total time =   14424.01 ms /   412 tokens
3.46.294.618 I slot print_timing: id  3 | task 94 |    graphs reused =        219
3.46.295.196 I slot      release: id  3 | task 94 | stop processing: n_tokens = 528, truncated = 0
3.49.791.766 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.370 (> 0.100 thold), f_keep = 0.222
3.49.797.998 I slot launch_slot_: id  3 | task 229 | processing task, is_child = 0
4.00.246.737 I slot print_timing: id  3 | task 229 | n_decoded =    100, tg =  13.03 t/s, tg_3s =  13.03 t/s
4.03.313.326 I slot print_timing: id  3 | task 229 | n_decoded =    139, tg =  12.94 t/s, tg_3s =  12.72 t/s
4.04.822.344 I slot print_timing: id  3 | task 229 | prompt eval time =    2772.30 ms /   199 tokens (   13.93 ms per token,    71.78 tokens per second)
4.04.822.350 I slot print_timing: id  3 | task 229 |        eval time =   12251.98 ms /   158 tokens (   77.54 ms per token,    12.90 tokens per second)
4.04.822.351 I slot print_timing: id  3 | task 229 |       total time =   15024.28 ms /   357 tokens
4.04.822.353 I slot print_timing: id  3 | task 229 |    graphs reused =        375
4.04.822.537 I slot      release: id  3 | task 229 | stop processing: n_tokens = 473, truncated = 0
4.08.308.028 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.443 (> 0.100 thold), f_keep = 0.245
4.08.313.593 I slot launch_slot_: id  3 | task 389 | processing task, is_child = 0
4.17.939.773 I slot print_timing: id  3 | task 389 | n_decoded =    100, tg =  13.28 t/s, tg_3s =  13.28 t/s
4.18.792.885 I slot print_timing: id  3 | task 389 | prompt eval time =    2096.12 ms /   146 tokens (   14.36 ms per token,    69.65 tokens per second)
4.18.792.890 I slot print_timing: id  3 | task 389 |        eval time =    8383.10 ms /   111 tokens (   75.52 ms per token,    13.24 tokens per second)
4.18.792.892 I slot print_timing: id  3 | task 389 |       total time =   10479.22 ms /   257 tokens
4.18.792.893 I slot print_timing: id  3 | task 389 |    graphs reused =        484
4.18.793.114 I slot      release: id  3 | task 389 | stop processing: n_tokens = 372, truncated = 0
4.22.245.924 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
4.22.246.954 I slot launch_slot_: id  2 | task 502 | processing task, is_child = 0
4.28.552.340 I slot print_timing: id  2 | task 502 | prompt eval time =    2473.71 ms /   189 tokens (   13.09 ms per token,    76.40 tokens per second)
