0.00.005.110 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.005.980 W srv  llama_server: -----------------
0.00.005.984 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.005.984 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.005.985 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.005.985 W srv  llama_server: -----------------
0.00.007.277 I srv    load_model: loading model '/home/sandalots/excalibur/artifacts/excalibur-medic-1b-Q4_K_M.gguf'
0.06.882.496 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 2048, kv_unified = 'true'
0.06.909.546 I srv  llama_server: model loaded
0.06.909.554 I srv  llama_server: listening on http://127.0.0.1:8080
3.13.001.296 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
3.13.001.481 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
3.16.306.610 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    256, progress = 0.43, t =   3.30 s / 77.47 tokens per second
3.18.163.686 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    384, progress = 0.65, t =   5.16 s / 74.39 tokens per second
3.20.150.083 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    512, progress = 0.87, t =   7.15 s / 71.63 tokens per second
3.28.789.877 I slot print_timing: id  3 | task 0 | prompt eval time =    8449.75 ms /   589 tokens (   14.35 ms per token,    69.71 tokens per second)
3.28.789.884 I slot print_timing: id  3 | task 0 |        eval time =    7338.06 ms /    90 tokens (   81.53 ms per token,    12.26 tokens per second)
3.28.789.885 I slot print_timing: id  3 | task 0 |       total time =   15787.82 ms /   679 tokens
3.28.789.892 I slot print_timing: id  3 | task 0 |    graphs reused =         91
3.28.791.282 I slot      release: id  3 | task 0 | stop processing: n_tokens = 678, truncated = 0
3.32.392.126 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.295 (> 0.100 thold), f_keep = 0.173
3.32.398.141 I slot launch_slot_: id  3 | task 95 | processing task, is_child = 0
3.35.953.192 I slot print_timing: id  3 | task 95 | prompt processing, n_tokens =    256, progress = 0.94, t =   3.56 s / 72.01 tokens per second
3.44.107.803 I slot print_timing: id  3 | task 95 | n_decoded =    100, tg =  12.90 t/s, tg_3s =  12.90 t/s
3.46.177.300 I slot print_timing: id  3 | task 95 | prompt eval time =    3955.55 ms /   280 tokens (   14.13 ms per token,    70.79 tokens per second)
3.46.177.342 I slot print_timing: id  3 | task 95 |        eval time =    9823.56 ms /   126 tokens (   77.96 ms per token,    12.83 tokens per second)
3.46.177.344 I slot print_timing: id  3 | task 95 |       total time =   13779.10 ms /   406 tokens
3.46.177.346 I slot print_timing: id  3 | task 95 |    graphs reused =        214
3.46.177.629 I slot      release: id  3 | task 95 | stop processing: n_tokens = 522, truncated = 0
3.49.641.427 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.370 (> 0.100 thold), f_keep = 0.224
3.49.646.524 I slot launch_slot_: id  3 | task 224 | processing task, is_child = 0
4.00.142.803 I slot print_timing: id  3 | task 224 | n_decoded =    100, tg =  13.14 t/s, tg_3s =  13.14 t/s
4.03.179.249 I slot print_timing: id  3 | task 224 | n_decoded =    139, tg =  13.05 t/s, tg_3s =  12.84 t/s
4.06.248.007 I slot print_timing: id  3 | task 224 | n_decoded =    178, tg =  12.98 t/s, tg_3s =  12.71 t/s
4.09.254.971 I slot print_timing: id  3 | task 224 | n_decoded =    216, tg =  12.92 t/s, tg_3s =  12.64 t/s
4.11.173.804 I slot print_timing: id  3 | task 224 | prompt eval time =    2883.97 ms /   199 tokens (   14.49 ms per token,    69.00 tokens per second)
4.11.173.809 I slot print_timing: id  3 | task 224 |        eval time =   18643.25 ms /   240 tokens (   77.68 ms per token,    12.87 tokens per second)
4.11.173.810 I slot print_timing: id  3 | task 224 |       total time =   21527.22 ms /   439 tokens
4.11.173.812 I slot print_timing: id  3 | task 224 |    graphs reused =        451
4.11.174.154 I slot      release: id  3 | task 224 | stop processing: n_tokens = 555, truncated = 0
4.14.749.272 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.443 (> 0.100 thold), f_keep = 0.209
4.14.754.829 I slot launch_slot_: id  3 | task 466 | processing task, is_child = 0
4.24.284.659 I slot print_timing: id  3 | task 466 | n_decoded =    100, tg =  13.28 t/s, tg_3s =  13.28 t/s
4.25.120.862 I slot print_timing: id  3 | task 466 | prompt eval time =    1997.05 ms /   146 tokens (   13.68 ms per token,    73.11 tokens per second)
4.25.120.867 I slot print_timing: id  3 | task 466 |        eval time =    8368.92 ms /   111 tokens (   75.40 ms per token,    13.26 tokens per second)
4.25.120.868 I slot print_timing: id  3 | task 466 |       total time =   10365.98 ms /   257 tokens
4.25.120.870 I slot print_timing: id  3 | task 466 |    graphs reused =        560
4.25.121.099 I slot      release: id  3 | task 466 | stop processing: n_tokens = 372, truncated = 0
4.28.573.899 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
4.28.576.796 I slot launch_slot_: id  2 | task 579 | processing task, is_child = 0
4.34.671.193 I slot print_timing: id  2 | task 579 | prompt eval time =    2444.48 ms /   189 tokens (   12.93 ms per token,    77.32 tokens per second)
4.34.671.212 I slot print_timing: id  2 | task 579 |        eval time =    3646.57 ms /    42 tokens (   86.82 ms per token,    11.52 tokens per second)
4.34.671.213 I slot print_timing: id  2 | task 579 |       total time =    6091.05 ms /   231 tokens
4.34.671.215 I slot print_timing: id  2 | task 579 |    graphs reused =        600
4.34.671.513 I slot      release: id  2 | task 579 | stop processing: n_tokens = 230, truncated = 0
4.38.114.866 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.322 (> 0.100 thold), f_keep = 0.239
4.38.116.539 I slot launch_slot_: id  2 | task 623 | processing task, is_child = 0
4.44.272.291 I slot print_timing: id  2 | task 623 | prompt eval time =    1542.35 ms /   116 tokens (   13.30 ms per token,    75.21 tokens per second)
4.44.272.300 I slot print_timing: id  2 | task 623 |        eval time =    4613.35 ms /    53 tokens (   87.04 ms per token,    11.49 tokens per second)
4.44.272.301 I slot print_timing: id  2 | task 623 |       total time =    6155.71 ms /   169 tokens
4.44.272.303 I slot print_timing: id  2 | task 623 |    graphs reused =        651
4.44.272.442 I slot      release: id  2 | task 623 | stop processing: n_tokens = 223, truncated = 0
4.54.706.846 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.310 (> 0.100 thold), f_keep = 0.256
4.54.714.318 I slot launch_slot_: id  2 | task 677 | processing task, is_child = 0
5.00.738.442 I slot print_timing: id  2 | task 677 | prompt eval time =    1741.04 ms /   127 tokens (   13.71 ms per token,    72.95 tokens per second)
5.00.738.451 I slot print_timing: id  2 | task 677 |        eval time =    4283.04 ms /    49 tokens (   87.41 ms per token,    11.44 tokens per second)
5.00.738.452 I slot print_timing: id  2 | task 677 |       total time =    6024.07 ms /   176 tokens
5.00.738.453 I slot print_timing: id  2 | task 677 |    graphs reused =        698
5.00.739.253 I slot      release: id  2 | task 677 | stop processing: n_tokens = 232, truncated = 0
5.07.659.524 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
5.07.664.533 I slot launch_slot_: id  1 | task 727 | processing task, is_child = 0
5.11.332.833 I slot print_timing: id  1 | task 727 | prompt processing, n_tokens =    256, progress = 0.67, t =   3.67 s / 69.83 tokens per second
5.13.322.242 I slot print_timing: id  1 | task 727 | prompt processing, n_tokens =    384, progress = 0.89, t =   5.66 s / 67.90 tokens per second
5.22.419.756 I slot print_timing: id  1 | task 727 | n_decoded =    100, tg =  12.38 t/s, tg_3s =  12.38 t/s
5.22.831.306 I slot print_timing: id  1 | task 727 | prompt eval time =    6675.65 ms /   443 tokens (   15.07 ms per token,    66.36 tokens per second)
5.22.831.310 I slot print_timing: id  1 | task 727 |        eval time =    8489.10 ms /   105 tokens (   80.85 ms per token,    12.37 tokens per second)
5.22.831.311 I slot print_timing: id  1 | task 727 |       total time =   15164.75 ms /   548 tokens
